SCHOOL_DISTRICT,SCHOOL_NAME,SYS_SCH,2014,2015,2016,2017
Gwinnett County,Berkeley Lake Elementary School,Gwinnett County – Berkeley Lake Elementary School,45,64,40,56
Gwinnett County,Shiloh High School,Gwinnett County – Shiloh High School,2959,2910,1718,1191
Gwinnett County,Pinckneyville Middle School,Gwinnett County – Pinckneyville Middle School,601,635,633,415
Gwinnett County,Meadowcreek High School,Gwinnett County – Meadowcreek High School,4022,4690,2851,1086
Gwinnett County,Richards Middle School,Gwinnett County – Richards Middle School,922,1133,861,1106
Gwinnett County,Phoenix High School,Gwinnett County – Phoenix High School,26,51,60,42
Gwinnett County,Chattahoochee Elementary School,Gwinnett County – Chattahoochee Elementary School,40,80,36,67
Gwinnett County,Dacula Elementary School,Gwinnett County – Dacula Elementary School,55,34,146,68
Gwinnett County,Craig Elementary School,Gwinnett County – Craig Elementary School,29,47,41,38
Gwinnett County,Collins Hill High School,Gwinnett County – Collins Hill High School,1028,1085,1491,1332
Gwinnett County,Harbins Elementary School,Gwinnett County – Harbins Elementary School,37,59,107,71
Gwinnett County,Creekland Middle School,Gwinnett County – Creekland Middle School,562,610,812,689
Gwinnett County,Alton C. Crews Middle School,Gwinnett County – Alton C. Crews Middle School,151,140,153,177
Gwinnett County,Meadowcreek Elementary School,Gwinnett County – Meadowcreek Elementary School,56,62,64,74
Gwinnett County,Frank N. Osborne Middle School,Gwinnett County – Frank N. Osborne Middle School,208,168,166,168
Gwinnett County,Corley Elementary School,Gwinnett County – Corley Elementary School,144,158,84,149
Gwinnett County,Mulberry Elementary School,Gwinnett County – Mulberry Elementary School,20,63,67,42
Gwinnett County,Lanier Middle School,Gwinnett County – Lanier Middle School,312,343,306,368
Gwinnett County,Lovin Elementary School,Gwinnett County – Lovin Elementary School,36,59,54,28
Gwinnett County,Knight Elementary School,Gwinnett County – Knight Elementary School,56,54,49,69
Gwinnett County,Sweetwater Middle School,Gwinnett County – Sweetwater Middle School,696,798,587,510
Gwinnett County,Five Forks Middle School,Gwinnett County – Five Forks Middle School,296,379,232,246
Gwinnett County,Beaver Ridge Elementary School,Gwinnett County – Beaver Ridge Elementary School,97,163,141,91
Gwinnett County,Annistown Elementary School,Gwinnett County – Annistown Elementary School,63,95,105,88
Gwinnett County,Shiloh Middle School,Gwinnett County – Shiloh Middle School,1067,882,940,1112
Gwinnett County,Hopkins Elementary School,Gwinnett County – Hopkins Elementary School,125,94,74,73
Gwinnett County,Brookwood Elementary School,Gwinnett County – Brookwood Elementary School,42,61,56,30
Gwinnett County,Norton Elementary School,Gwinnett County – Norton Elementary School,102,118,205,268
Gwinnett County,Minor Elementary School,Gwinnett County – Minor Elementary School,49,36,35,69
Gwinnett County,McKendree Elementary School,Gwinnett County – McKendree Elementary School,51,107,86,53
Gwinnett County,Shiloh Elementary School,Gwinnett County – Shiloh Elementary School,102,87,116,168
Gwinnett County,Nesbit Elementary School,Gwinnett County – Nesbit Elementary School,47,90,65,75
Gwinnett County,Fort Daniel Elementary School,Gwinnett County – Fort Daniel Elementary School,16,,21,22
Gwinnett County,Sugar Hill Elementary School,Gwinnett County – Sugar Hill Elementary School,81,93,66,58
Gwinnett County,Hull Middle School,Gwinnett County – Hull Middle School,593,207,199,170
Gwinnett County,M. H. Mason Elementary School,Gwinnett County – M. H. Mason Elementary School,53,24,27,80
Gwinnett County,Susan Stripling Elementary School,Gwinnett County – Susan Stripling Elementary School,120,153,121,77
Gwinnett County,Berkmar Middle School,Gwinnett County – Berkmar Middle School,734,739,509,548
Gwinnett County,Ivy Creek Elementary School,Gwinnett County – Ivy Creek Elementary School,25,24,27,25
Gwinnett County,Rosebud Elementary School,Gwinnett County – Rosebud Elementary School,130,167,234,332
Gwinnett County,Gwin Oaks Elementary School,Gwinnett County – Gwin Oaks Elementary School,20,51,33,42
Gwinnett County,Dacula Middle School,Gwinnett County – Dacula Middle School,317,398,486,382
Gwinnett County,Arcado Elementary School,Gwinnett County – Arcado Elementary School,39,73,24,24
Gwinnett County,Gwinnett InterVention Education (GIVE) Center East,Gwinnett County – Gwinnett InterVention Education (GIVE) Center East,601,763,940,1032
Gwinnett County,Cedar Hill Elementary School,Gwinnett County – Cedar Hill Elementary School,107,117,40,115
Gwinnett County,Pharr Elementary School,Gwinnett County – Pharr Elementary School,32,33,19,24
Gwinnett County,Simonton Elementary School,Gwinnett County – Simonton Elementary School,77,68,77,75
Gwinnett County,Jackson Elementary School,Gwinnett County – Jackson Elementary School,47,92,190,85
Gwinnett County,Magill Elementary School,Gwinnett County – Magill Elementary School,45,87,133,163
Gwinnett County,Partee Elementary School,Gwinnett County – Partee Elementary School,78,94,84,47
Gwinnett County,Glenn C. Jones Middle School,Gwinnett County – Glenn C. Jones Middle School,167,293,247,239
Gwinnett County,Kanoheda Elementary School,Gwinnett County – Kanoheda Elementary School,30,40,45,34
Gwinnett County,McConnell Middle School,Gwinnett County – McConnell Middle School,324,340,488,600
Gwinnett County,Taylor Elementary School,Gwinnett County – Taylor Elementary School,34,48,64,83
Gwinnett County,Sycamore Elementary School,Gwinnett County – Sycamore Elementary School,92,100,75,99
Gwinnett County,Trip Elementary School,Gwinnett County – Trip Elementary School,80,90,82,144
Gwinnett County,W. J. Cooper Elementary School,Gwinnett County – W. J. Cooper Elementary School,33,50,57,71
Gwinnett County,Patrick Elementary School,Gwinnett County – Patrick Elementary School,30,38,58,105
Gwinnett County,Parsons Elementary School,Gwinnett County – Parsons Elementary School,16,,19,
Gwinnett County,Peachtree Ridge High School,Gwinnett County – Peachtree Ridge High School,1422,1255,1424,991
Gwinnett County,Duluth Middle School,Gwinnett County – Duluth Middle School,817,774,792,612
Gwinnett County,New Life Academy of Excellence,Gwinnett County – New Life Academy of Excellence,19,,,
Gwinnett County,Alcova Elementary School,Gwinnett County – Alcova Elementary School,85,96,118,71
Gwinnett County,Bay Creek Middle School,Gwinnett County – Bay Creek Middle School,314,400,349,384
Gwinnett County,Grace Snell Middle School,Gwinnett County – Grace Snell Middle School,612,584,1019,757
Gwinnett County,Ferguson Elementary School,Gwinnett County – Ferguson Elementary School,115,181,66,74
Gwinnett County,Roberts Elementary School,Gwinnett County – Roberts Elementary School,22,,,25
Gwinnett County,Jenkins Elementary School,Gwinnett County – Jenkins Elementary School,85,93,72,161
Gwinnett County,Anderson-Livsey Elementary School,Gwinnett County – Anderson-Livsey Elementary School,221,166,219,214
Gwinnett County,Burnette Elementary School,Gwinnett County – Burnette Elementary School,25,46,62,16
Gwinnett County,Lanier High School,Gwinnett County – Lanier High School,405,419,394,340
Gwinnett County,"Gwinnett School of Mathematics, Science and Technology","Gwinnett County – Gwinnett School of Mathematics, Science and Technology",24,11,26,97
Gwinnett County,New Life Academy of Excellence Duluth,Gwinnett County – New Life Academy of Excellence Duluth,17,48,33,81
Gwinnett County,Berkmar High School,Gwinnett County – Berkmar High School,2695,2664,2252,1830
Gwinnett County,Dyer Elementary School,Gwinnett County – Dyer Elementary School,49,43,60,35
Gwinnett County,Lilburn Middle School,Gwinnett County – Lilburn Middle School,1791,1761,934,1073
Gwinnett County,Rockbridge Elementary School,Gwinnett County – Rockbridge Elementary School,60,26,29,44
Gwinnett County,J. A. Alford Elementary,Gwinnett County – J. A. Alford Elementary,76,78,60,45
Gwinnett County,Starling Elementary School,Gwinnett County – Starling Elementary School,26,42,48,48
Gwinnett County,Moore Middle School,Gwinnett County – Moore Middle School,991,893,994,882
Gwinnett County,Gwinnett Intervention Education Center (GIVE) West,Gwinnett County – Gwinnett Intervention Education Center (GIVE) West,788,783,809,774
Gwinnett County,Duncan Creek Elementary,Gwinnett County – Duncan Creek Elementary,20,,33,16
Gwinnett County,Couch Middle School,Gwinnett County – Couch Middle School,315,314,266,252
Gwinnett County,Margaret Winn Holt Elementary School,Gwinnett County – Margaret Winn Holt Elementary School,65,132,144,106
Gwinnett County,White Oak Elementary School,Gwinnett County – White Oak Elementary School,44,61,33,29
Gwinnett County,Mountain View High School,Gwinnett County – Mountain View High School,558,655,768,820
Gwinnett County,Louise Radloff Middle School,Gwinnett County – Louise Radloff Middle School,2136,1643,1490,1352
Gwinnett County,North Gwinnett Middle School,Gwinnett County – North Gwinnett Middle School,139,112,141,179
Gwinnett County,Charles Brant Chesney Elementary School,Gwinnett County – Charles Brant Chesney Elementary School,82,37,68,56
Gwinnett County,Twin Rivers Middle School,Gwinnett County – Twin Rivers Middle School,280,342,376,401
Gwinnett County,Archer High School,Gwinnett County – Archer High School,762,847,770,775
Gwinnett County,Woodward Mill Elementary School,Gwinnett County – Woodward Mill Elementary School,33,26,68,40
Gwinnett County,Bethesda Elementary School,Gwinnett County – Bethesda Elementary School,60,58,31,21
Gwinnett County,Harmony Elementary School,Gwinnett County – Harmony Elementary School,15,50,14,17
Gwinnett County,Mountain Park Elementary School,Gwinnett County – Mountain Park Elementary School,50,26,43,33
Gwinnett County,Snellville Middle School,Gwinnett County – Snellville Middle School,597,576,704,771
Gwinnett County,South Gwinnett High School,Gwinnett County – South Gwinnett High School,1581,1351,1683,1055
Gwinnett County,Britt Elementary School,Gwinnett County – Britt Elementary School,31,106,103,133
Gwinnett County,Harris Elementary School,Gwinnett County – Harris Elementary School,50,48,36,17
Gwinnett County,Camp Creek Elementary School,Gwinnett County – Camp Creek Elementary School,12,,43,34
Gwinnett County,Central Gwinnett High School,Gwinnett County – Central Gwinnett High School,2005,1396,1364,1122
Gwinnett County,Dacula High School,Gwinnett County – Dacula High School,2756,1986,1840,1969
Gwinnett County,Norcross Elementary School,Gwinnett County – Norcross Elementary School,84,86,75,141
