SCHOOL_DISTRICT,SCHOOL_NAME,ENROLLMENT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_STATEMENT
Taylor County,Taylor County Upper Elementary,508,Taylor County Upper Elementary's enrollment is in the 17th percentile of all Georgia schools.,37,7.3,Taylor County Upper Elementary's percentage of students with discipline incidents is in the 36th percentile of all Georgia schools.,74,Taylor County Upper Elementary's total number of discipline incidents is in the 30th percentile of all Georgia schools.,0.146,Taylor County Upper Elementary's incidents per student rate is in the 38th percentile of all Georgia schools.
Taylor County,Taylor County High School,430,Taylor County High School's enrollment is in the 10th percentile of all Georgia schools.,49,11.4,Taylor County High School's percentage of students with discipline incidents is in the 50th percentile of all Georgia schools.,75,Taylor County High School's total number of discipline incidents is in the 30th percentile of all Georgia schools.,0.174,Taylor County High School's incidents per student rate is in the 43rd percentile of all Georgia schools.
Taylor County,Taylor County Middle School,228,Taylor County Middle School's enrollment is in the 2nd percentile of all Georgia schools.,67,29.4,Taylor County Middle School's percentage of students with discipline incidents is in the 90th percentile of all Georgia schools.,146,Taylor County Middle School's total number of discipline incidents is in the 47th percentile of all Georgia schools.,0.64,Taylor County Middle School's incidents per student rate is in the 84th percentile of all Georgia schools.
Telfair County,Telfair County Middle School,402,Telfair County Middle School's enrollment is in the 8th percentile of all Georgia schools.,117,29.1,Telfair County Middle School's percentage of students with discipline incidents is in the 89th percentile of all Georgia schools.,263,Telfair County Middle School's total number of discipline incidents is in the 64th percentile of all Georgia schools.,0.654,Telfair County Middle School's incidents per student rate is in the 85th percentile of all Georgia schools.
Telfair County,Telfair County Elementary,936,Telfair County Elementary's enrollment is in the 67th percentile of all Georgia schools.,161,17.2,Telfair County Elementary's percentage of students with discipline incidents is in the 66th percentile of all Georgia schools.,424,Telfair County Elementary's total number of discipline incidents is in the 76th percentile of all Georgia schools.,0.453,Telfair County Elementary's incidents per student rate is in the 73rd percentile of all Georgia schools.
Telfair County,Telfair County High School,528,Telfair County High School's enrollment is in the 19th percentile of all Georgia schools.,154,29.2,Telfair County High School's percentage of students with discipline incidents is in the 89th percentile of all Georgia schools.,348,Telfair County High School's total number of discipline incidents is in the 70th percentile of all Georgia schools.,0.659,Telfair County High School's incidents per student rate is in the 85th percentile of all Georgia schools.
Terrell County,Terrell High School,414,Terrell High School's enrollment is in the 9th percentile of all Georgia schools.,126,30.4,Terrell High School's percentage of students with discipline incidents is in the 91st percentile of all Georgia schools.,218,Terrell High School's total number of discipline incidents is in the 57th percentile of all Georgia schools.,0.527,Terrell High School's incidents per student rate is in the 78th percentile of all Georgia schools.
Terrell County,Terrell Middle School,321,Terrell Middle School's enrollment is in the 4th percentile of all Georgia schools.,71,22.1,Terrell Middle School's percentage of students with discipline incidents is in the 78th percentile of all Georgia schools.,102,Terrell Middle School's total number of discipline incidents is in the 38th percentile of all Georgia schools.,0.318,Terrell Middle School's incidents per student rate is in the 61st percentile of all Georgia schools.
Terrell County,Cooper-Carver Elementary School,760,Cooper-Carver Elementary School's enrollment is in the 47th percentile of all Georgia schools.,78,10.3,Cooper-Carver Elementary School's percentage of students with discipline incidents is in the 47th percentile of all Georgia schools.,124,Cooper-Carver Elementary School's total number of discipline incidents is in the 42nd percentile of all Georgia schools.,0.163,Cooper-Carver Elementary School's incidents per student rate is in the 41st percentile of all Georgia schools.
Thomas County,The Renaissance Center for Academic and Career Development,159,The Renaissance Center for Academic and Career Development's enrollment is in the 1st percentile of all Georgia schools.,78,49.1,The Renaissance Center for Academic and Career Development's percentage of students with discipline incidents is in the 99th percentile of all Georgia schools.,174,The Renaissance Center for Academic and Career Development's total number of discipline incidents is in the 52nd percentile of all Georgia schools.,1.094,The Renaissance Center for Academic and Career Development's incidents per student rate is in the 96th percentile of all Georgia schools.
Thomas County,Thomas County Central High School,1584,Thomas County Central High School's enrollment is in the 92nd percentile of all Georgia schools.,389,24.6,Thomas County Central High School's percentage of students with discipline incidents is in the 82nd percentile of all Georgia schools.,748,Thomas County Central High School's total number of discipline incidents is in the 88th percentile of all Georgia schools.,0.472,Thomas County Central High School's incidents per student rate is in the 74th percentile of all Georgia schools.
Thomas County,Cross Creek Elementary School,933,Cross Creek Elementary School's enrollment is in the 67th percentile of all Georgia schools.,119,12.8,Cross Creek Elementary School's percentage of students with discipline incidents is in the 55th percentile of all Georgia schools.,238,Cross Creek Elementary School's total number of discipline incidents is in the 61st percentile of all Georgia schools.,0.255,Cross Creek Elementary School's incidents per student rate is in the 53rd percentile of all Georgia schools.
Thomas County,Thomas County Middle School,1786,Thomas County Middle School's enrollment is in the 94th percentile of all Georgia schools.,453,25.4,Thomas County Middle School's percentage of students with discipline incidents is in the 84th percentile of all Georgia schools.,1048,Thomas County Middle School's total number of discipline incidents is in the 94th percentile of all Georgia schools.,0.587,Thomas County Middle School's incidents per student rate is in the 81st percentile of all Georgia schools.
