SYS_SCH,ENROLLMENT,ENROLLMENT_PCT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_PCT,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_PCT,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_PCT,INCIDENTS_PER_STUDENT_STATEMENT
Houston County – Houston County Crossroads Center,463,12,Houston County Crossroads Center's enrollment is in the 12th percentile of all Georgia schools.,294,63.5,100,Houston County Crossroads Center's percentage of students with discipline incidents is in the 100th percentile of all Georgia schools.,877,92,Houston County Crossroads Center's total number of discipline incidents is in the 92nd percentile of all Georgia schools.,1.894,99,Houston County Crossroads Center's incidents per student rate is in the 99th percentile of all Georgia schools.
Houston County – Langston Road Elementary School,770,49,Langston Road Elementary School's enrollment is in the 49th percentile of all Georgia schools.,69,9,42,Langston Road Elementary School's percentage of students with discipline incidents is in the 42nd percentile of all Georgia schools.,140,45,Langston Road Elementary School's total number of discipline incidents is in the 45th percentile of all Georgia schools.,0.182,44,Langston Road Elementary School's incidents per student rate is in the 44th percentile of all Georgia schools.
Houston County – Pearl Stephens Elementary School,504,16,Pearl Stephens Elementary School's enrollment is in the 16th percentile of all Georgia schools.,119,23.6,81,Pearl Stephens Elementary School's percentage of students with discipline incidents is in the 81st percentile of all Georgia schools.,303,67,Pearl Stephens Elementary School's total number of discipline incidents is in the 67th percentile of all Georgia schools.,0.601,82,Pearl Stephens Elementary School's incidents per student rate is in the 82nd percentile of all Georgia schools.
Houston County – Northside Elementary School,564,23,Northside Elementary School's enrollment is in the 23rd percentile of all Georgia schools.,107,19,70,Northside Elementary School's percentage of students with discipline incidents is in the 70th percentile of all Georgia schools.,397,74,Northside Elementary School's total number of discipline incidents is in the 74th percentile of all Georgia schools.,0.704,87,Northside Elementary School's incidents per student rate is in the 87th percentile of all Georgia schools.
Houston County – Houston County High School,1945,96,Houston County High School's enrollment is in the 96th percentile of all Georgia schools.,435,22.4,78,Houston County High School's percentage of students with discipline incidents is in the 78th percentile of all Georgia schools.,930,93,Houston County High School's total number of discipline incidents is in the 93rd percentile of all Georgia schools.,0.478,75,Houston County High School's incidents per student rate is in the 75th percentile of all Georgia schools.
Houston County – Perdue Elementary School,705,40,Perdue Elementary School's enrollment is in the 40th percentile of all Georgia schools.,84,11.9,52,Perdue Elementary School's percentage of students with discipline incidents is in the 52nd percentile of all Georgia schools.,143,46,Perdue Elementary School's total number of discipline incidents is in the 46th percentile of all Georgia schools.,0.203,46,Perdue Elementary School's incidents per student rate is in the 46th percentile of all Georgia schools.
Houston County – Quail Run Elementary School,789,51,Quail Run Elementary School's enrollment is in the 51st percentile of all Georgia schools.,59,7.5,37,Quail Run Elementary School's percentage of students with discipline incidents is in the 37th percentile of all Georgia schools.,116,40,Quail Run Elementary School's total number of discipline incidents is in the 40th percentile of all Georgia schools.,0.147,38,Quail Run Elementary School's incidents per student rate is in the 38th percentile of all Georgia schools.
Houston County – Feagin Mill Middle School,878,62,Feagin Mill Middle School's enrollment is in the 62nd percentile of all Georgia schools.,147,16.7,64,Feagin Mill Middle School's percentage of students with discipline incidents is in the 64th percentile of all Georgia schools.,297,67,Feagin Mill Middle School's total number of discipline incidents is in the 67th percentile of all Georgia schools.,0.338,63,Feagin Mill Middle School's incidents per student rate is in the 63rd percentile of all Georgia schools.
Houston County – Matthew Arthur Elementary School,811,54,Matthew Arthur Elementary School's enrollment is in the 54th percentile of all Georgia schools.,51,6.3,31,Matthew Arthur Elementary School's percentage of students with discipline incidents is in the 31st percentile of all Georgia schools.,125,42,Matthew Arthur Elementary School's total number of discipline incidents is in the 42nd percentile of all Georgia schools.,0.154,39,Matthew Arthur Elementary School's incidents per student rate is in the 39th percentile of all Georgia schools.
Houston County – Perry Middle School,930,67,Perry Middle School's enrollment is in the 67th percentile of all Georgia schools.,221,23.8,81,Perry Middle School's percentage of students with discipline incidents is in the 81st percentile of all Georgia schools.,431,76,Perry Middle School's total number of discipline incidents is in the 76th percentile of all Georgia schools.,0.463,74,Perry Middle School's incidents per student rate is in the 74th percentile of all Georgia schools.
Houston County – Thomson Middle School,858,60,Thomson Middle School's enrollment is in the 60th percentile of all Georgia schools.,219,25.5,84,Thomson Middle School's percentage of students with discipline incidents is in the 84th percentile of all Georgia schools.,590,84,Thomson Middle School's total number of discipline incidents is in the 84th percentile of all Georgia schools.,0.688,86,Thomson Middle School's incidents per student rate is in the 86th percentile of all Georgia schools.
Houston County – Lake Joy Elementary School,684,38,Lake Joy Elementary School's enrollment is in the 38th percentile of all Georgia schools.,43,6.3,31,Lake Joy Elementary School's percentage of students with discipline incidents is in the 31st percentile of all Georgia schools.,78,31,Lake Joy Elementary School's total number of discipline incidents is in the 31st percentile of all Georgia schools.,0.114,31,Lake Joy Elementary School's incidents per student rate is in the 31st percentile of all Georgia schools.
Houston County – Bonaire Middle School,992,71,Bonaire Middle School's enrollment is in the 71st percentile of all Georgia schools.,229,23.1,80,Bonaire Middle School's percentage of students with discipline incidents is in the 80th percentile of all Georgia schools.,443,77,Bonaire Middle School's total number of discipline incidents is in the 77th percentile of all Georgia schools.,0.447,72,Bonaire Middle School's incidents per student rate is in the 72nd percentile of all Georgia schools.
Houston County – Hilltop Elementary School,699,39,Hilltop Elementary School's enrollment is in the 39th percentile of all Georgia schools.,61,8.7,41,Hilltop Elementary School's percentage of students with discipline incidents is in the 41st percentile of all Georgia schools.,156,49,Hilltop Elementary School's total number of discipline incidents is in the 49th percentile of all Georgia schools.,0.223,50,Hilltop Elementary School's incidents per student rate is in the 50th percentile of all Georgia schools.
Houston County – Bonaire Elementary School,918,66,Bonaire Elementary School's enrollment is in the 66th percentile of all Georgia schools.,78,8.5,40,Bonaire Elementary School's percentage of students with discipline incidents is in the 40th percentile of all Georgia schools.,155,49,Bonaire Elementary School's total number of discipline incidents is in the 49th percentile of all Georgia schools.,0.169,42,Bonaire Elementary School's incidents per student rate is in the 42nd percentile of all Georgia schools.
Houston County – Northside Middle School,918,66,Northside Middle School's enrollment is in the 66th percentile of all Georgia schools.,295,32.1,93,Northside Middle School's percentage of students with discipline incidents is in the 93rd percentile of all Georgia schools.,701,87,Northside Middle School's total number of discipline incidents is in the 87th percentile of all Georgia schools.,0.764,89,Northside Middle School's incidents per student rate is in the 89th percentile of all Georgia schools.
Houston County – Perry High School,1423,89,Perry High School's enrollment is in the 89th percentile of all Georgia schools.,434,30.5,91,Perry High School's percentage of students with discipline incidents is in the 91st percentile of all Georgia schools.,1210,96,Perry High School's total number of discipline incidents is in the 96th percentile of all Georgia schools.,0.85,92,Perry High School's incidents per student rate is in the 92nd percentile of all Georgia schools.
Houston County – Centerville Elementary School,754,46,Centerville Elementary School's enrollment is in the 46th percentile of all Georgia schools.,86,11.4,50,Centerville Elementary School's percentage of students with discipline incidents is in the 50th percentile of all Georgia schools.,301,67,Centerville Elementary School's total number of discipline incidents is in the 67th percentile of all Georgia schools.,0.399,68,Centerville Elementary School's incidents per student rate is in the 68th percentile of all Georgia schools.
Houston County – Northside High School,2014,96,Northside High School's enrollment is in the 96th percentile of all Georgia schools.,708,35.2,95,Northside High School's percentage of students with discipline incidents is in the 95th percentile of all Georgia schools.,1814,99,Northside High School's total number of discipline incidents is in the 99th percentile of all Georgia schools.,0.901,93,Northside High School's incidents per student rate is in the 93rd percentile of all Georgia schools.
Houston County – Morningside Elementary School,567,23,Morningside Elementary School's enrollment is in the 23rd percentile of all Georgia schools.,93,16.4,63,Morningside Elementary School's percentage of students with discipline incidents is in the 63rd percentile of all Georgia schools.,221,59,Morningside Elementary School's total number of discipline incidents is in the 59th percentile of all Georgia schools.,0.39,67,Morningside Elementary School's incidents per student rate is in the 67th percentile of all Georgia schools.
Houston County – Westside Elementary School,713,42,Westside Elementary School's enrollment is in the 42nd percentile of all Georgia schools.,122,17.1,66,Westside Elementary School's percentage of students with discipline incidents is in the 66th percentile of all Georgia schools.,322,68,Westside Elementary School's total number of discipline incidents is in the 68th percentile of all Georgia schools.,0.452,73,Westside Elementary School's incidents per student rate is in the 73rd percentile of all Georgia schools.
Houston County – Parkwood Elementary School,823,56,Parkwood Elementary School's enrollment is in the 56th percentile of all Georgia schools.,138,16.8,65,Parkwood Elementary School's percentage of students with discipline incidents is in the 65th percentile of all Georgia schools.,378,73,Parkwood Elementary School's total number of discipline incidents is in the 73rd percentile of all Georgia schools.,0.459,73,Parkwood Elementary School's incidents per student rate is in the 73rd percentile of all Georgia schools.
Houston County – Tucker Elementary School,506,17,Tucker Elementary School's enrollment is in the 17th percentile of all Georgia schools.,83,16.4,63,Tucker Elementary School's percentage of students with discipline incidents is in the 63rd percentile of all Georgia schools.,246,62,Tucker Elementary School's total number of discipline incidents is in the 62nd percentile of all Georgia schools.,0.486,75,Tucker Elementary School's incidents per student rate is in the 75th percentile of all Georgia schools.
Houston County – Kings Chapel Elementary School,541,20,Kings Chapel Elementary School's enrollment is in the 20th percentile of all Georgia schools.,49,9.1,42,Kings Chapel Elementary School's percentage of students with discipline incidents is in the 42nd percentile of all Georgia schools.,160,50,Kings Chapel Elementary School's total number of discipline incidents is in the 50th percentile of all Georgia schools.,0.296,57,Kings Chapel Elementary School's incidents per student rate is in the 57th percentile of all Georgia schools.
Houston County – Lindsey Elementary School,464,12,Lindsey Elementary School's enrollment is in the 12th percentile of all Georgia schools.,55,11.9,52,Lindsey Elementary School's percentage of students with discipline incidents is in the 52nd percentile of all Georgia schools.,138,44,Lindsey Elementary School's total number of discipline incidents is in the 44th percentile of all Georgia schools.,0.297,57,Lindsey Elementary School's incidents per student rate is in the 57th percentile of all Georgia schools.
Houston County – Russell Elementary School,822,56,Russell Elementary School's enrollment is in the 56th percentile of all Georgia schools.,118,14.4,59,Russell Elementary School's percentage of students with discipline incidents is in the 59th percentile of all Georgia schools.,300,67,Russell Elementary School's total number of discipline incidents is in the 67th percentile of all Georgia schools.,0.365,65,Russell Elementary School's incidents per student rate is in the 65th percentile of all Georgia schools.
Houston County – Warner Robins High School,1706,93,Warner Robins High School's enrollment is in the 93rd percentile of all Georgia schools.,526,30.8,91,Warner Robins High School's percentage of students with discipline incidents is in the 91st percentile of all Georgia schools.,1306,97,Warner Robins High School's total number of discipline incidents is in the 97th percentile of all Georgia schools.,0.766,89,Warner Robins High School's incidents per student rate is in the 89th percentile of all Georgia schools.
Houston County – Miller Elementary School,674,37,Miller Elementary School's enrollment is in the 37th percentile of all Georgia schools.,73,10.8,48,Miller Elementary School's percentage of students with discipline incidents is in the 48th percentile of all Georgia schools.,190,55,Miller Elementary School's total number of discipline incidents is in the 55th percentile of all Georgia schools.,0.282,56,Miller Elementary School's incidents per student rate is in the 56th percentile of all Georgia schools.
Houston County – Shirley Hills Elementary School,680,37,Shirley Hills Elementary School's enrollment is in the 37th percentile of all Georgia schools.,89,13.1,55,Shirley Hills Elementary School's percentage of students with discipline incidents is in the 55th percentile of all Georgia schools.,187,54,Shirley Hills Elementary School's total number of discipline incidents is in the 54th percentile of all Georgia schools.,0.275,55,Shirley Hills Elementary School's incidents per student rate is in the 55th percentile of all Georgia schools.
Houston County – Warner Robins Middle School,846,59,Warner Robins Middle School's enrollment is in the 59th percentile of all Georgia schools.,268,31.7,92,Warner Robins Middle School's percentage of students with discipline incidents is in the 92nd percentile of all Georgia schools.,756,89,Warner Robins Middle School's total number of discipline incidents is in the 89th percentile of all Georgia schools.,0.894,93,Warner Robins Middle School's incidents per student rate is in the 93rd percentile of all Georgia schools.
Irwin County – Irwin County Middle School,439,11,Irwin County Middle School's enrollment is in the 11th percentile of all Georgia schools.,107,24.4,82,Irwin County Middle School's percentage of students with discipline incidents is in the 82nd percentile of all Georgia schools.,250,62,Irwin County Middle School's total number of discipline incidents is in the 62nd percentile of all Georgia schools.,0.569,80,Irwin County Middle School's incidents per student rate is in the 80th percentile of all Georgia schools.
Irwin County – Irwin County Elementary School,944,68,Irwin County Elementary School's enrollment is in the 68th percentile of all Georgia schools.,68,7.2,35,Irwin County Elementary School's percentage of students with discipline incidents is in the 35th percentile of all Georgia schools.,121,41,Irwin County Elementary School's total number of discipline incidents is in the 41st percentile of all Georgia schools.,0.128,35,Irwin County Elementary School's incidents per student rate is in the 35th percentile of all Georgia schools.
Irwin County – Irwin County High School,507,17,Irwin County High School's enrollment is in the 17th percentile of all Georgia schools.,89,17.6,68,Irwin County High School's percentage of students with discipline incidents is in the 68th percentile of all Georgia schools.,157,49,Irwin County High School's total number of discipline incidents is in the 49th percentile of all Georgia schools.,0.31,60,Irwin County High School's incidents per student rate is in the 60th percentile of all Georgia schools.
Jackson County – West Jackson Intermediate School,906,65,West Jackson Intermediate School's enrollment is in the 65th percentile of all Georgia schools.,27,3,12,West Jackson Intermediate School's percentage of students with discipline incidents is in the 12th percentile of all Georgia schools.,53,22,West Jackson Intermediate School's total number of discipline incidents is in the 22nd percentile of all Georgia schools.,0.058,15,West Jackson Intermediate School's incidents per student rate is in the 15th percentile of all Georgia schools.
Jackson County – East Jackson Elementary School,549,22,East Jackson Elementary School's enrollment is in the 22nd percentile of all Georgia schools.,20,3.6,17,East Jackson Elementary School's percentage of students with discipline incidents is in the 17th percentile of all Georgia schools.,33,12,East Jackson Elementary School's total number of discipline incidents is in the 12th percentile of all Georgia schools.,0.06,16,East Jackson Elementary School's incidents per student rate is in the 16th percentile of all Georgia schools.
Jackson County – East Jackson Comprehensive High School,984,71,East Jackson Comprehensive High School's enrollment is in the 71st percentile of all Georgia schools.,112,11.4,50,East Jackson Comprehensive High School's percentage of students with discipline incidents is in the 50th percentile of all Georgia schools.,186,54,East Jackson Comprehensive High School's total number of discipline incidents is in the 54th percentile of all Georgia schools.,0.189,45,East Jackson Comprehensive High School's incidents per student rate is in the 45th percentile of all Georgia schools.
Jackson County – Jackson County High School,1233,83,Jackson County High School's enrollment is in the 83rd percentile of all Georgia schools.,198,16.1,63,Jackson County High School's percentage of students with discipline incidents is in the 63rd percentile of all Georgia schools.,368,72,Jackson County High School's total number of discipline incidents is in the 72nd percentile of all Georgia schools.,0.298,59,Jackson County High School's incidents per student rate is in the 59th percentile of all Georgia schools.
Jackson County – East Jackson Middle School,866,61,East Jackson Middle School's enrollment is in the 61st percentile of all Georgia schools.,136,15.7,62,East Jackson Middle School's percentage of students with discipline incidents is in the 62nd percentile of all Georgia schools.,295,66,East Jackson Middle School's total number of discipline incidents is in the 66th percentile of all Georgia schools.,0.341,63,East Jackson Middle School's incidents per student rate is in the 63rd percentile of all Georgia schools.
Jackson County – West Jackson Middle School,1030,74,West Jackson Middle School's enrollment is in the 74th percentile of all Georgia schools.,65,6.3,31,West Jackson Middle School's percentage of students with discipline incidents is in the 31st percentile of all Georgia schools.,109,39,West Jackson Middle School's total number of discipline incidents is in the 39th percentile of all Georgia schools.,0.106,28,West Jackson Middle School's incidents per student rate is in the 28th percentile of all Georgia schools.
Jackson County – Benton Elementary School,339,5,Benton Elementary School's enrollment is in the 5th percentile of all Georgia schools.,13,3.8,18,Benton Elementary School's percentage of students with discipline incidents is in the 18th percentile of all Georgia schools.,39,15,Benton Elementary School's total number of discipline incidents is in the 15th percentile of all Georgia schools.,0.115,31,Benton Elementary School's incidents per student rate is in the 31st percentile of all Georgia schools.
Jackson County – Maysville Elementary School,364,6,Maysville Elementary School's enrollment is in the 6th percentile of all Georgia schools.,15,4.1,20,Maysville Elementary School's percentage of students with discipline incidents is in the 20th percentile of all Georgia schools.,26,7,Maysville Elementary School's total number of discipline incidents is in the 7th percentile of all Georgia schools.,0.071,20,Maysville Elementary School's incidents per student rate is in the 20th percentile of all Georgia schools.
Jackson County – North Jackson Elementary School,399,8,North Jackson Elementary School's enrollment is in the 8th percentile of all Georgia schools.,15,3.8,18,North Jackson Elementary School's percentage of students with discipline incidents is in the 18th percentile of all Georgia schools.,55,23,North Jackson Elementary School's total number of discipline incidents is in the 23rd percentile of all Georgia schools.,0.138,36,North Jackson Elementary School's incidents per student rate is in the 36th percentile of all Georgia schools.
Jackson County – South Jackson Elementary School,623,30,South Jackson Elementary School's enrollment is in the 30th percentile of all Georgia schools.,47,7.5,37,South Jackson Elementary School's percentage of students with discipline incidents is in the 37th percentile of all Georgia schools.,128,43,South Jackson Elementary School's total number of discipline incidents is in the 43rd percentile of all Georgia schools.,0.205,47,South Jackson Elementary School's incidents per student rate is in the 47th percentile of all Georgia schools.
Jasper County – Washington Park Elementary School,591,26,Washington Park Elementary School's enrollment is in the 26th percentile of all Georgia schools.,38,6.4,32,Washington Park Elementary School's percentage of students with discipline incidents is in the 32nd percentile of all Georgia schools.,54,22,Washington Park Elementary School's total number of discipline incidents is in the 22nd percentile of all Georgia schools.,0.091,25,Washington Park Elementary School's incidents per student rate is in the 25th percentile of all Georgia schools.
Jasper County – Jasper County High School,715,42,Jasper County High School's enrollment is in the 42nd percentile of all Georgia schools.,207,29,89,Jasper County High School's percentage of students with discipline incidents is in the 89th percentile of all Georgia schools.,418,75,Jasper County High School's total number of discipline incidents is in the 75th percentile of all Georgia schools.,0.585,81,Jasper County High School's incidents per student rate is in the 81st percentile of all Georgia schools.
Jasper County – Jasper County Primary School,724,43,Jasper County Primary School's enrollment is in the 43rd percentile of all Georgia schools.,23,3.2,14,Jasper County Primary School's percentage of students with discipline incidents is in the 14th percentile of all Georgia schools.,43,17,Jasper County Primary School's total number of discipline incidents is in the 17th percentile of all Georgia schools.,0.059,15,Jasper County Primary School's incidents per student rate is in the 15th percentile of all Georgia schools.
Jasper County – Jasper County Middle School,567,23,Jasper County Middle School's enrollment is in the 23rd percentile of all Georgia schools.,116,20.5,74,Jasper County Middle School's percentage of students with discipline incidents is in the 74th percentile of all Georgia schools.,254,63,Jasper County Middle School's total number of discipline incidents is in the 63rd percentile of all Georgia schools.,0.448,72,Jasper County Middle School's incidents per student rate is in the 72nd percentile of all Georgia schools.
Jeff Davis County – Jeff Davis Primary School,912,66,Jeff Davis Primary School's enrollment is in the 66th percentile of all Georgia schools.,83,9.1,42,Jeff Davis Primary School's percentage of students with discipline incidents is in the 42nd percentile of all Georgia schools.,152,48,Jeff Davis Primary School's total number of discipline incidents is in the 48th percentile of all Georgia schools.,0.167,41,Jeff Davis Primary School's incidents per student rate is in the 41st percentile of all Georgia schools.
Jeff Davis County – Jeff Davis Middle School,732,44,Jeff Davis Middle School's enrollment is in the 44th percentile of all Georgia schools.,204,27.9,88,Jeff Davis Middle School's percentage of students with discipline incidents is in the 88th percentile of all Georgia schools.,638,85,Jeff Davis Middle School's total number of discipline incidents is in the 85th percentile of all Georgia schools.,0.872,92,Jeff Davis Middle School's incidents per student rate is in the 92nd percentile of all Georgia schools.
Jeff Davis County – Jeff Davis Elementary School,758,47,Jeff Davis Elementary School's enrollment is in the 47th percentile of all Georgia schools.,132,17.4,67,Jeff Davis Elementary School's percentage of students with discipline incidents is in the 67th percentile of all Georgia schools.,337,69,Jeff Davis Elementary School's total number of discipline incidents is in the 69th percentile of all Georgia schools.,0.445,72,Jeff Davis Elementary School's incidents per student rate is in the 72nd percentile of all Georgia schools.
Jeff Davis County – Jeff Davis High School,940,68,Jeff Davis High School's enrollment is in the 68th percentile of all Georgia schools.,249,26.5,86,Jeff Davis High School's percentage of students with discipline incidents is in the 86th percentile of all Georgia schools.,508,80,Jeff Davis High School's total number of discipline incidents is in the 80th percentile of all Georgia schools.,0.54,78,Jeff Davis High School's incidents per student rate is in the 78th percentile of all Georgia schools.
Jefferson County – Jefferson County High School,831,56,Jefferson County High School's enrollment is in the 56th percentile of all Georgia schools.,144,17.3,66,Jefferson County High School's percentage of students with discipline incidents is in the 66th percentile of all Georgia schools.,202,56,Jefferson County High School's total number of discipline incidents is in the 56th percentile of all Georgia schools.,0.243,52,Jefferson County High School's incidents per student rate is in the 52nd percentile of all Georgia schools.
Jefferson County – Louisville Middle School,335,5,Louisville Middle School's enrollment is in the 5th percentile of all Georgia schools.,32,9.6,44,Louisville Middle School's percentage of students with discipline incidents is in the 44th percentile of all Georgia schools.,39,15,Louisville Middle School's total number of discipline incidents is in the 15th percentile of all Georgia schools.,0.116,32,Louisville Middle School's incidents per student rate is in the 32nd percentile of all Georgia schools.
Jefferson County – Wrens Middle School,286,3,Wrens Middle School's enrollment is in the 3rd percentile of all Georgia schools.,38,13.3,56,Wrens Middle School's percentage of students with discipline incidents is in the 56th percentile of all Georgia schools.,46,18,Wrens Middle School's total number of discipline incidents is in the 18th percentile of all Georgia schools.,0.161,40,Wrens Middle School's incidents per student rate is in the 40th percentile of all Georgia schools.
Jefferson County – Louisville Academy,519,18,Louisville Academy's enrollment is in the 18th percentile of all Georgia schools.,22,4.2,21,Louisville Academy's percentage of students with discipline incidents is in the 21st percentile of all Georgia schools.,32,11,Louisville Academy's total number of discipline incidents is in the 11th percentile of all Georgia schools.,0.062,16,Louisville Academy's incidents per student rate is in the 16th percentile of all Georgia schools.
Jefferson County – Wrens Elementary School,651,33,Wrens Elementary School's enrollment is in the 33rd percentile of all Georgia schools.,24,3.7,18,Wrens Elementary School's percentage of students with discipline incidents is in the 18th percentile of all Georgia schools.,28,9,Wrens Elementary School's total number of discipline incidents is in the 9th percentile of all Georgia schools.,0.043,10,Wrens Elementary School's incidents per student rate is in the 10th percentile of all Georgia schools.
Jenkins County – Jenkins County Middle School,248,2,Jenkins County Middle School's enrollment is in the 2nd percentile of all Georgia schools.,92,37.1,96,Jenkins County Middle School's percentage of students with discipline incidents is in the 96th percentile of all Georgia schools.,236,61,Jenkins County Middle School's total number of discipline incidents is in the 61st percentile of all Georgia schools.,0.952,94,Jenkins County Middle School's incidents per student rate is in the 94th percentile of all Georgia schools.
Jenkins County – Jenkins County High School,338,5,Jenkins County High School's enrollment is in the 5th percentile of all Georgia schools.,124,36.7,96,Jenkins County High School's percentage of students with discipline incidents is in the 96th percentile of all Georgia schools.,253,63,Jenkins County High School's total number of discipline incidents is in the 63rd percentile of all Georgia schools.,0.749,88,Jenkins County High School's incidents per student rate is in the 88th percentile of all Georgia schools.
Jenkins County – Jenkins County Elementary School,669,36,Jenkins County Elementary School's enrollment is in the 36th percentile of all Georgia schools.,120,17.9,68,Jenkins County Elementary School's percentage of students with discipline incidents is in the 68th percentile of all Georgia schools.,309,68,Jenkins County Elementary School's total number of discipline incidents is in the 68th percentile of all Georgia schools.,0.462,73,Jenkins County Elementary School's incidents per student rate is in the 73rd percentile of all Georgia schools.
Johnson County – Johnson County Middle School,281,3,Johnson County Middle School's enrollment is in the 3rd percentile of all Georgia schools.,66,23.5,80,Johnson County Middle School's percentage of students with discipline incidents is in the 80th percentile of all Georgia schools.,121,41,Johnson County Middle School's total number of discipline incidents is in the 41st percentile of all Georgia schools.,0.431,71,Johnson County Middle School's incidents per student rate is in the 71st percentile of all Georgia schools.
Johnson County – Johnson County Elementary School,627,31,Johnson County Elementary School's enrollment is in the 31st percentile of all Georgia schools.,68,10.8,48,Johnson County Elementary School's percentage of students with discipline incidents is in the 48th percentile of all Georgia schools.,101,37,Johnson County Elementary School's total number of discipline incidents is in the 37th percentile of all Georgia schools.,0.161,40,Johnson County Elementary School's incidents per student rate is in the 40th percentile of all Georgia schools.
Johnson County – Johnson County High School,367,6,Johnson County High School's enrollment is in the 6th percentile of all Georgia schools.,84,22.9,79,Johnson County High School's percentage of students with discipline incidents is in the 79th percentile of all Georgia schools.,158,49,Johnson County High School's total number of discipline incidents is in the 49th percentile of all Georgia schools.,0.431,71,Johnson County High School's incidents per student rate is in the 71st percentile of all Georgia schools.
Jones County – Clifton Ridge Middle School,606,28,Clifton Ridge Middle School's enrollment is in the 28th percentile of all Georgia schools.,124,20.5,74,Clifton Ridge Middle School's percentage of students with discipline incidents is in the 74th percentile of all Georgia schools.,259,64,Clifton Ridge Middle School's total number of discipline incidents is in the 64th percentile of all Georgia schools.,0.427,71,Clifton Ridge Middle School's incidents per student rate is in the 71st percentile of all Georgia schools.
Jones County – Mattie Wells Elementary School,779,50,Mattie Wells Elementary School's enrollment is in the 50th percentile of all Georgia schools.,33,4.2,21,Mattie Wells Elementary School's percentage of students with discipline incidents is in the 21st percentile of all Georgia schools.,50,21,Mattie Wells Elementary School's total number of discipline incidents is in the 21st percentile of all Georgia schools.,0.064,17,Mattie Wells Elementary School's incidents per student rate is in the 17th percentile of all Georgia schools.
Jones County – Gray Station Middle School,706,40,Gray Station Middle School's enrollment is in the 40th percentile of all Georgia schools.,104,14.7,59,Gray Station Middle School's percentage of students with discipline incidents is in the 59th percentile of all Georgia schools.,183,53,Gray Station Middle School's total number of discipline incidents is in the 53rd percentile of all Georgia schools.,0.259,54,Gray Station Middle School's incidents per student rate is in the 54th percentile of all Georgia schools.
Jones County – Turner Woods Elementary School,688,38,Turner Woods Elementary School's enrollment is in the 38th percentile of all Georgia schools.,22,3.2,14,Turner Woods Elementary School's percentage of students with discipline incidents is in the 14th percentile of all Georgia schools.,25,7,Turner Woods Elementary School's total number of discipline incidents is in the 7th percentile of all Georgia schools.,0.036,7,Turner Woods Elementary School's incidents per student rate is in the 7th percentile of all Georgia schools.
Jones County – Jones County High School,1644,92,Jones County High School's enrollment is in the 92nd percentile of all Georgia schools.,355,21.6,77,Jones County High School's percentage of students with discipline incidents is in the 77th percentile of all Georgia schools.,927,93,Jones County High School's total number of discipline incidents is in the 93rd percentile of all Georgia schools.,0.564,80,Jones County High School's incidents per student rate is in the 80th percentile of all Georgia schools.
Jones County – Dames Ferry Elementary School,668,36,Dames Ferry Elementary School's enrollment is in the 36th percentile of all Georgia schools.,22,3.3,15,Dames Ferry Elementary School's percentage of students with discipline incidents is in the 15th percentile of all Georgia schools.,46,18,Dames Ferry Elementary School's total number of discipline incidents is in the 18th percentile of all Georgia schools.,0.069,19,Dames Ferry Elementary School's incidents per student rate is in the 19th percentile of all Georgia schools.
Jones County – Gray Elementary School,636,32,Gray Elementary School's enrollment is in the 32nd percentile of all Georgia schools.,16,2.5,9,Gray Elementary School's percentage of students with discipline incidents is in the 9th percentile of all Georgia schools.,36,14,Gray Elementary School's total number of discipline incidents is in the 14th percentile of all Georgia schools.,0.057,15,Gray Elementary School's incidents per student rate is in the 15th percentile of all Georgia schools.
Lamar County – Lamar County Elementary School,658,35,Lamar County Elementary School's enrollment is in the 35th percentile of all Georgia schools.,64,9.7,44,Lamar County Elementary School's percentage of students with discipline incidents is in the 44th percentile of all Georgia schools.,123,41,Lamar County Elementary School's total number of discipline incidents is in the 41st percentile of all Georgia schools.,0.187,44,Lamar County Elementary School's incidents per student rate is in the 44th percentile of all Georgia schools.
Lamar County – Lamar County Comprehensive High School,806,54,Lamar County Comprehensive High School's enrollment is in the 54th percentile of all Georgia schools.,284,35.2,95,Lamar County Comprehensive High School's percentage of students with discipline incidents is in the 95th percentile of all Georgia schools.,828,90,Lamar County Comprehensive High School's total number of discipline incidents is in the 90th percentile of all Georgia schools.,1.027,94,Lamar County Comprehensive High School's incidents per student rate is in the 94th percentile of all Georgia schools.
Lamar County – Lamar County Middle School,648,33,Lamar County Middle School's enrollment is in the 33rd percentile of all Georgia schools.,265,40.9,98,Lamar County Middle School's percentage of students with discipline incidents is in the 98th percentile of all Georgia schools.,975,94,Lamar County Middle School's total number of discipline incidents is in the 94th percentile of all Georgia schools.,1.505,99,Lamar County Middle School's incidents per student rate is in the 99th percentile of all Georgia schools.
Lamar County – Lamar County Primary School,828,56,Lamar County Primary School's enrollment is in the 56th percentile of all Georgia schools.,63,7.6,37,Lamar County Primary School's percentage of students with discipline incidents is in the 37th percentile of all Georgia schools.,144,46,Lamar County Primary School's total number of discipline incidents is in the 46th percentile of all Georgia schools.,0.174,43,Lamar County Primary School's incidents per student rate is in the 43rd percentile of all Georgia schools.
