SYS_SCH,ENROLLMENT,ENROLLMENT_PCT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_PCT,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_PCT,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_PCT,INCIDENTS_PER_STUDENT_STATEMENT
Carroll County – Roopville Elementary School,422,9,Roopville Elementary School's enrollment is in the 9th percentile of all Georgia schools.,15,3.6,17,Roopville Elementary School's percentage of students with discipline incidents is in the 17th percentile of all Georgia schools.,35,13,Roopville Elementary School's total number of discipline incidents is in the 13rd percentile of all Georgia schools.,0.083,23,Roopville Elementary School's incidents per student rate is in the 23rd percentile of all Georgia schools.
Carroll County – Ithica Elementary,824,56,Ithica Elementary's enrollment is in the 56th percentile of all Georgia schools.,37,4.5,23,Ithica Elementary's percentage of students with discipline incidents is in the 23rd percentile of all Georgia schools.,48,20,Ithica Elementary's total number of discipline incidents is in the 20th percentile of all Georgia schools.,0.058,15,Ithica Elementary's incidents per student rate is in the 15th percentile of all Georgia schools.
Carroll County – Whitesburg Elementary School,382,7,Whitesburg Elementary School's enrollment is in the 7th percentile of all Georgia schools.,19,5,25,Whitesburg Elementary School's percentage of students with discipline incidents is in the 25th percentile of all Georgia schools.,20,4,Whitesburg Elementary School's total number of discipline incidents is in the 4th percentile of all Georgia schools.,0.052,13,Whitesburg Elementary School's incidents per student rate is in the 13rd percentile of all Georgia schools.
Carroll County – Glanton-Hindsman Elementary,766,48,Glanton-Hindsman Elementary's enrollment is in the 48th percentile of all Georgia schools.,27,3.5,16,Glanton-Hindsman Elementary's percentage of students with discipline incidents is in the 16th percentile of all Georgia schools.,60,25,Glanton-Hindsman Elementary's total number of discipline incidents is in the 25th percentile of all Georgia schools.,0.078,22,Glanton-Hindsman Elementary's incidents per student rate is in the 22nd percentile of all Georgia schools.
Carroll County – Villa Rica Elementary School,539,20,Villa Rica Elementary School's enrollment is in the 20th percentile of all Georgia schools.,23,4.3,21,Villa Rica Elementary School's percentage of students with discipline incidents is in the 21st percentile of all Georgia schools.,41,16,Villa Rica Elementary School's total number of discipline incidents is in the 16th percentile of all Georgia schools.,0.076,21,Villa Rica Elementary School's incidents per student rate is in the 21st percentile of all Georgia schools.
Carroll County – Temple Elementary School,620,30,Temple Elementary School's enrollment is in the 30th percentile of all Georgia schools.,14,2.3,7,Temple Elementary School's percentage of students with discipline incidents is in the 7th percentile of all Georgia schools.,25,7,Temple Elementary School's total number of discipline incidents is in the 7th percentile of all Georgia schools.,0.04,9,Temple Elementary School's incidents per student rate is in the 9th percentile of all Georgia schools.
Carroll County – Bowdon Elementary School,717,42,Bowdon Elementary School's enrollment is in the 42nd percentile of all Georgia schools.,43,6,30,Bowdon Elementary School's percentage of students with discipline incidents is in the 30th percentile of all Georgia schools.,68,27,Bowdon Elementary School's total number of discipline incidents is in the 27th percentile of all Georgia schools.,0.095,26,Bowdon Elementary School's incidents per student rate is in the 26th percentile of all Georgia schools.
Carroll County – Central High School,1272,84,Central High School's enrollment is in the 84th percentile of all Georgia schools.,316,24.8,83,Central High School's percentage of students with discipline incidents is in the 83rd percentile of all Georgia schools.,884,92,Central High School's total number of discipline incidents is in the 92nd percentile of all Georgia schools.,0.695,86,Central High School's incidents per student rate is in the 86th percentile of all Georgia schools.
Carroll County – Bowdon High School,471,13,Bowdon High School's enrollment is in the 13rd percentile of all Georgia schools.,113,24,81,Bowdon High School's percentage of students with discipline incidents is in the 81st percentile of all Georgia schools.,255,63,Bowdon High School's total number of discipline incidents is in the 63rd percentile of all Georgia schools.,0.541,78,Bowdon High School's incidents per student rate is in the 78th percentile of all Georgia schools.
Carroll County – Central Elementary School,1156,80,Central Elementary School's enrollment is in the 80th percentile of all Georgia schools.,41,3.5,16,Central Elementary School's percentage of students with discipline incidents is in the 16th percentile of all Georgia schools.,73,28,Central Elementary School's total number of discipline incidents is in the 28th percentile of all Georgia schools.,0.063,17,Central Elementary School's incidents per student rate is in the 17th percentile of all Georgia schools.
